MUO_temp_filtered_pulse_data
Ch0_time1 (s),Ch0_amp1 (V),Ch0_width1,Ch0_time2,Ch0_amp2,Ch0_width2,Ch1_time1,Ch1_amp1,Ch1_width1,Ch1_time2,Ch1_amp2,Ch1_width2
5.42E-06,0.307002,6.387495E-08,7.072E-06,0.047475,6.248679E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.416E-06,0.345195,6.215049E-08,6.712E-06,0.019902,5.495561E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.424E-06,0.300626,7.621877E-08,3.604E-05,0.060381,5.740048E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.408E-06,0.315871,7.21227E-08,8.456E-06,0.043453,6.449445E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.416E-06,0.370808,6.595254E-08,7.944E-06,0.019103,5.554894E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.404E-06,0.481258,7.186493E-08,7.192E-06,0.017419,5.805508E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.42E-06,0.322912,6.546412E-08,9.256E-06,0.048499,5.962459E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.432E-06,0.264981,5.947911E-08,6.524E-06,0.045753,6.098849E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.424E-06,0.336247,6.613618E-08,3.9524E-05,0.234585,6.477831E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.404E-06,0.476063,6.750885E-08,6.608E-06,0.022324,5.750829E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.412E-06,0.346458,6.902968E-08,7.192E-06,0.022473,5.43657E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.292E-06,0.646013,1.671319E-07,6.552E-06,0.013241,6.208165E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.436E-06,0.248043,6.470826E-08,6.656E-06,0.01765,5.250114E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.436E-06,0.208851,6.272142E-08,1.4992E-05,0.021965,5.499282E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.424E-06,0.295435,6.522975E-08,6.508E-06,0.019578,5.641227E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.412E-06,0.401149,6.469864E-08,8.916E-06,0.013845,1.465269E-07,0.0,0.0,0.0,0.0,0.0,0.0
5.42E-06,0.388049,6.042337E-08,9.076E-06,0.02084,6.130861E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.412E-06,0.334035,7.00815E-08,6.548E-06,0.018471,5.450569E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.432E-06,0.224651,7.431798E-08,8.024E-06,0.025758,5.422588E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.408E-06,0.46224,6.842872E-08,6.604E-06,0.023376,5.504905E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.432E-06,0.213045,6.320546E-08,9.14E-06,0.137615,6.716065E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.44E-06,0.181346,5.563572E-08,6.608E-06,0.020583,5.551231E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.42E-06,0.325825,6.455979E-08,1.2176E-05,0.059913,6.109468E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.412E-06,0.403827,6.527959E-08,6.636E-06,0.021601,5.826937E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.42E-06,0.289585,6.756598E-08,6.6E-06,0.027503,5.330439E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.42E-06,0.249658,6.482653E-08,8.6E-06,0.038649,5.598163E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.432E-06,0.216913,6.39413E-08,6.78E-06,0.020212,5.108221E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.424E-06,0.311221,6.630777E-08,6.44E-06,0.013803,6.653258E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.42E-06,0.352245,6.208615E-08,7.04E-06,0.015599,5.495333E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.44E-06,0.195309,5.938917E-08,8.728E-06,0.078231,6.348454E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.408E-06,0.379407,6.962331E-08,7.352E-06,0.038246,5.636131E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.42E-06,0.336276,7.351682E-08,6.968E-06,0.019271,5.669436E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.424E-06,0.271177,6.698487E-08,7.188E-06,0.029376,5.680411E-08,0.0,0.0,0.0,0.0,0.0,0.0
5.436E-06,0.223325,7.545074E-08,7.252E-06,0.067664,6.659724E-08,0.0,0.0,0.0,0.0,0.0,0.0
