Ch0_time1 (s),Ch0_amp1 (V),Ch0_width1 (s),Ch0_time2 (s),Ch0_amp2 (V),Ch0_width2 (s),Ch1_time1 (s),Ch1_amp1 (V),Ch1_width1 (s),Ch1_time2 (s),Ch1_amp2 (V),Ch1_width2 (s)
2.668e-06,0.185474,6.641409e-08,0.0,0.0,0.0,2.704e-06,0.065016,6.063917e-08,0.0,0.0,0.0
2.684e-06,0.155999,6.212954e-08,0.0,0.0,0.0,2.712e-06,0.0628,6.066395e-08,0.0,0.0,0.0
2.7e-06,0.080961,5.986288e-08,0.0,0.0,0.0,2.724e-06,0.091998,6.321034e-08,0.0,0.0,0.0
2.676e-06,0.157494,6.473412e-08,0.0,0.0,0.0,2.716e-06,0.058141,5.956438e-08,0.0,0.0,0.0
2.712e-06,0.053499,5.559134e-08,0.0,0.0,0.0,7.136e-06,0.207869,7.036916e-08,0.0,0.0,0.0
2.676e-06,0.145222,6.481029e-08,0.0,0.0,0.0,2.696e-06,0.248498,6.663759e-08,0.0,0.0,0.0
2.712e-06,0.059757,7.940569e-08,0.0,0.0,0.0,2.728e-06,0.289504,7.073637e-08,0.0,0.0,0.0
2.716e-06,0.062948,6.288294e-08,0.0,0.0,0.0,2.72e-06,0.084076,6.160792e-08,0.0,0.0,0.0
2.66e-06,0.156573,7.492958e-08,0.0,0.0,0.0,2.684e-06,0.344689,7.243035e-08,0.0,0.0,0.0
2.68e-06,0.172188,6.666543e-08,0.0,0.0,0.0,2.696e-06,0.464493,7.105749e-08,0.0,0.0,0.0
2.644e-06,0.384669,6.663149e-08,0.0,0.0,0.0,2.668e-06,0.230184,7.613106e-08,0.0,0.0,0.0
2.7e-06,0.088117,6.360229e-08,0.0,0.0,0.0,2.716e-06,0.076299,8.195466e-08,0.0,0.0,0.0
2.7e-06,0.076883,6.286499e-08,0.0,0.0,0.0,2.724e-06,0.090694,6.159928e-08,0.0,0.0,0.0
2.688e-06,0.095272,7.287413e-08,0.0,0.0,0.0,2.7e-06,0.350189,6.936587e-08,0.0,0.0,0.0
2.716e-06,0.054253,5.637504e-08,0.0,0.0,0.0,2.728e-06,0.160082,7.066388e-08,0.0,0.0,0.0
2.684e-06,0.126289,7.625592e-08,0.0,0.0,0.0,2.708e-06,0.084278,6.607757e-08,0.0,0.0,0.0
2.68e-06,0.139931,6.545086e-08,0.0,0.0,0.0,2.704e-06,0.109272,6.310228e-08,0.0,0.0,0.0
2.692e-06,0.138753,5.699829e-08,0.0,0.0,0.0,2.72e-06,0.061015,6.813951e-08,0.0,0.0,0.0
2.704e-06,0.07366,5.978269e-08,0.0,0.0,0.0,2.72e-06,0.365355,6.701024e-08,0.0,0.0,0.0
2.684e-06,0.137173,6.581706e-08,0.0,0.0,0.0,2.716e-06,0.0608,6.068978e-08,0.0,0.0,0.0
2.68e-06,0.151708,6.17288e-08,0.0,0.0,0.0,2.7e-06,0.308775,7.15232e-08,0.0,0.0,0.0
2.708e-06,0.074148,6.34248e-08,0.0,0.0,0.0,2.748e-06,0.060022,6.055671e-08,0.0,0.0,0.0
2.668e-06,0.172497,6.656099e-08,0.0,0.0,0.0,2.692e-06,0.127005,7.855247e-08,0.0,0.0,0.0
2.676e-06,0.19482,5.969703e-08,0.0,0.0,0.0,2.696e-06,0.212818,6.970779e-08,0.0,0.0,0.0
2.692e-06,0.108257,5.96956e-08,0.0,0.0,0.0,2.724e-06,0.092448,6.794237e-08,0.0,0.0,0.0
2.704e-06,0.093313,7.428184e-08,0.0,0.0,0.0,2.724e-06,0.193333,6.634057e-08,0.0,0.0,0.0
2.664e-06,0.236259,6.315529e-08,0.0,0.0,0.0,2.692e-06,0.074211,6.951177e-08,0.0,0.0,0.0
2.676e-06,0.154733,6.958879e-08,0.0,0.0,0.0,2.7e-06,0.130379,7.354717e-08,0.0,0.0,0.0
2.66e-06,0.285263,6.151886e-08,0.0,0.0,0.0,2.696e-06,0.046906,5.762799e-08,0.0,0.0,0.0
2.7e-06,0.085296,5.830213e-08,0.0,0.0,0.0,2.728e-06,0.093069,6.805566e-08,0.0,0.0,0.0
2.688e-06,0.101551,6.372981e-08,0.0,0.0,0.0,2.716e-06,0.125247,6.854577e-08,0.0,0.0,0.0
2.7e-06,0.083262,5.866154e-08,0.0,0.0,0.0,2.724e-06,0.085001,6.918321e-08,0.0,0.0,0.0
2.704e-06,0.084547,6.968184e-08,0.0,0.0,0.0,2.716e-06,0.08253,6.354607e-08,0.0,0.0,0.0
2.708e-06,0.341967,6.675762e-08,0.0,0.0,0.0,2.728e-06,0.166536,8.342409e-08,0.0,0.0,0.0
