Trigger Count=21049	Output Count=1847	Elapsed Time=06:19.492	Number of Pulses CH0=1	Number of Pulses CH1=1
te (Hz)=2.50E+8	Min record length=5682	Trigger level (V)=0.1000	Channel 0 threshold (V)=0.1000	Channel 1 threshold (V)=0.1000	Range (microseconds)=20.0000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
2.668000E-6	0.185474	6.641409E-8	0.000000	0.000000	0.000000	2.704000E-6	0.065016	6.063917E-8	0.000000	0.000000	0.000000
2.684000E-6	0.155999	6.212954E-8	0.000000	0.000000	0.000000	2.712000E-6	0.062800	6.066395E-8	0.000000	0.000000	0.000000
2.700000E-6	0.080961	5.986288E-8	0.000000	0.000000	0.000000	2.724000E-6	0.091998	6.321034E-8	0.000000	0.000000	0.000000
2.676000E-6	0.157494	6.473412E-8	0.000000	0.000000	0.000000	2.716000E-6	0.058141	5.956438E-8	0.000000	0.000000	0.000000
2.712000E-6	0.053499	5.559134E-8	0.000000	0.000000	0.000000	7.136000E-6	0.207869	7.036916E-8	0.000000	0.000000	0.000000
2.676000E-6	0.145222	6.481029E-8	0.000000	0.000000	0.000000	2.696000E-6	0.248498	6.663759E-8	0.000000	0.000000	0.000000
2.712000E-6	0.059757	7.940569E-8	0.000000	0.000000	0.000000	2.728000E-6	0.289504	7.073637E-8	0.000000	0.000000	0.000000
2.716000E-6	0.062948	6.288294E-8	0.000000	0.000000	0.000000	2.720000E-6	0.084076	6.160792E-8	0.000000	0.000000	0.000000
2.660000E-6	0.156573	7.492958E-8	0.000000	0.000000	0.000000	2.684000E-6	0.344689	7.243035E-8	0.000000	0.000000	0.000000
2.680000E-6	0.172188	6.666543E-8	0.000000	0.000000	0.000000	2.696000E-6	0.464493	7.105749E-8	0.000000	0.000000	0.000000
2.644000E-6	0.384669	6.663149E-8	0.000000	0.000000	0.000000	2.668000E-6	0.230184	7.613106E-8	0.000000	0.000000	0.000000
2.700000E-6	0.088117	6.360229E-8	0.000000	0.000000	0.000000	2.716000E-6	0.076299	8.195466E-8	0.000000	0.000000	0.000000
